id,financial_report_id/id,sequence,parent_id/id,code,level,name,groupby,domain,formulas,special_date_changer,green_on_positive,show_domain,figure_type,hide_if_zero,action_id/id
1120500,,7,1120000,A1120500,3,1120500 CUENTAS POR COBRAR AL PERSONAL,account_id,"[('account_id','ilike','11205%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1120600,,8,1120000,A1120600,3,1120600 OTRAS CUENTAS POR COBRAR,account_id,"[('account_id','ilike','11206%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1120900,,9,1120000,A1120900,3,1120900 PREV PARA CUENTAS INCOBRABLES,account_id,"[('account_id','ilike','11209%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1130000,,3,1100000,A1130000,2,1130000 INVENTARIO,account_id,,balance = A1130100.balance + A1130200.balance + A1130900.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1130100,,10,1130000,A1130100,3,1130100 INVENTARIO,account_id,"[('account_id','ilike','11301%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1130200,,11,1130000,A1130200,3,1130200 INVENTARIO EN TRANSITO,account_id,"[('account_id','ilike','11302%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1130900,,12,1130000,A1130900,3,1130900 PREVISION PARA OBSOLESCENCIA,account_id,"[('account_id','ilike','11309%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1140000,,4,1100000,A1140000,2,1140000 INTERESES DEVENGADOS,account_id,,balance = A1140100.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1140100,,13,1140000,A1140100,3,1140100 INTERESES BONOS C/P,account_id,"[('account_id','ilike','11401%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1200000,,2,1000000,A1200000,1,1200000 ACTIVO NO CORRIENTE,account_id,,balance = A1210000.balance + A1220000.balance + A1230000.balance + A1240000.balance + A1250000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
